id,date,incident_type,severity,status,description,reported_by,created_at
22,2025-12-05,cyber atack,Medium,In Progress,trying to hack into user.txt,shwet,2025-12-05 16:59:59
21,2025-12-02,Phishing,Low,Open,Fake login page reported,Dave,2025-12-05 15:56:38
20,2025-12-03,Data Breach,High,Closed,Unauthorized access to database,Charlie,2025-12-05 15:56:38
19,2025-12-04,Malware,Medium,In Progress,Malware detected on employee laptop,Bob,2025-12-05 15:56:38
18,2025-12-05,Phishing,High,Open,Suspicious email detected,Alice,2025-12-05 15:56:38
17,2025-12-05,Data Breach,High,Closed,Unauthorized access to database,shwet,2025-12-05 15:43:24
16,2025-12-05,Malware,Medium,In Progress,Malware detected on employee laptop,shwet,2025-12-05 15:40:59
15,2025-12-05,Phishing,High,Open,Suspicious email detected,shwet,2025-12-05 15:40:08
14,2024-11-05,Phishing,High,Open,Suspicious email detected,alice,2025-12-05 15:27:49
13,2024-11-05,Phishing,High,Open,Suspicious email detected,alice,2025-12-05 10:06:24
